Pair,Volatility,Volume,MinFunds
00-USD,4.52,"2,295,902",1
ACH-USD,5.65,"37,551,539",1
ACS-USD,5.61,"141,215,831",1
ACX-USD,7.11,"1,940,199",1
ADA-USD,5.93,"47,181,855",1
AERGO-USD,4.54,"3,191,550",1
AERO-USD,8.16,"12,394,197",1
AIOZ-USD,7.47,"2,657,252",1
ALEO-USD,6.24,"1,023,397",1
ALEPH-USD,7.08,"1,339,513",1
ALGO-USD,6.58,"17,670,194",1
ALT-USD,6.91,"2,252,975",1
AMP-USD,4.31,"120,829,377",1
ANKR-USD,4.85,"8,805,689",1
ARB-USD,7.35,"13,540,878",1
ARPA-USD,5.21,"2,637,191",1
ASM-USD,6.62,"19,704,863",1
AST-USD,7.12,"3,854,455",1
ATH-USD,7.55,"18,029,337",1
AUDIO-USD,5.08,"1,368,128",1
AURORA-USD,5.34,"1,053,965",1
AXL-USD,6.64,"1,528,675",1
B3-USD,7.74,"279,582,892",1
